id;start_date;end_date;language
1;2019-11-21T06:32:11;2019-11-20T23:40:28;FRENCH
2;2019-11-20T17:08:26;2019-11-21T05:54:07;ENGLISH
3;2019-11-20T16:34:53;2019-11-20T18:31:13;FRENCH
4;2019-11-21T04:20:43;2019-11-20T20:42:22;ENGLISH
5;2019-11-21T07:30:18;2019-11-21T08:05:15;FRENCH
6;2019-11-20T13:45:36;2019-11-20T10:46:58;SPANISH
7;2019-11-20T22:55:39;2019-11-21T01:58:46;ENGLISH
8;2019-11-21T00:43:36;2019-11-21T09:08:14;FRENCH
9;2019-11-21T01:18:01;2019-11-21T09:55:24;ENGLISH
10;2019-11-20T18:28:56;2019-11-20T17:52:33;SPANISH
